regiao;coduf;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Brasil;76;30/06/2020;27;210147125;1402041;33846;59594;1280
Brasil;76;01/07/2020;27;210147125;1448753;46712;60632;1038
Brasil;76;02/07/2020;27;210147125;1496858;48105;61884;1252
Brasil;76;03/07/2020;27;210147125;1539081;42223;63174;1290
Brasil;76;04/07/2020;27;210147125;1577004;37923;64265;1091
Brasil;76;05/07/2020;28;210147125;1603055;26051;64867;602
Brasil;76;06/07/2020;28;210147125;1623284;20229;65487;620
Brasil;76;07/07/2020;28;210147125;1668589;45305;66741;1254
Brasil;76;08/07/2020;28;210147125;1713160;44571;67964;1223
Brasil;76;09/07/2020;28;210147125;1755779;42619;69184;1220
Brasil;76;10/07/2020;28;210147125;1800827;45048;70398;1214
Brasil;76;11/07/2020;28;210147125;1839850;39023;71469;1071
Brasil;76;12/07/2020;29;210147125;1864681;24831;72100;631
Brasil;76;13/07/2020;29;210147125;1884967;20286;72833;733
Brasil;76;14/07/2020;29;210147125;1926824;41857;74133;1300
Brasil;76;15/07/2020;29;210147125;1966748;39924;75366;1233
Brasil;76;16/07/2020;29;210147125;2012151;45403;76688;1322
Brasil;76;17/07/2020;29;210147125;2046328;34177;77851;1163
Brasil;76;18/07/2020;29;210147125;2074860;28532;78772;921
Brasil;76;19/07/2020;30;210147125;2098389;23529;79488;716
Brasil;76;20/07/2020;30;210147125;2118646;20257;80120;632
Brasil;76;21/07/2020;30;210147125;2159654;41008;81487;1367
Brasil;76;22/07/2020;30;210147125;2227514;67860;82771;1284
Brasil;76;23/07/2020;30;210147125;2287475;59961;84082;1311
Brasil;76;24/07/2020;30;210147125;2343366;55891;85238;1156
Brasil;76;25/07/2020;30;210147125;2394513;51147;86449;1211
Brasil;76;26/07/2020;31;210147125;2419091;24578;87004;555
Brasil;76;27/07/2020;31;210147125;2442375;23284;87618;614
Brasil;76;28/07/2020;31;210147125;2483191;40816;88539;921
Brasil;76;29/07/2020;31;210147125;2552265;69074;90134;1595
Brasil;76;30/07/2020;31;210147125;2610102;57837;91263;1129
Brasil;76;31/07/2020;31;210147125;2662485;52383;92475;1212
